 36  |  NGC4631        | 190.53334 |  32.54174 | 0.27      |  83.2      |  8.27      |  6.01      | 0.01      | 8.27      | 5.80       | 0.01       | 8.27      | 1.99      | 0.01      | 8.27       | -0.06     | 0.01          |  0.21     | 0.02    | 3.81    |  0.02
 37  |  MESSIER60      | 190.91643 |  11.55272 | 0.82      |  99.3      |  8.23      |  5.38      | 0.01      | 6.28      | 5.47       | 0.01       | 2.17      | 5.04      | 0.01      | 2.17       | 3.98      | 0.04          | -0.09     | 0.02    | 0.43    |  0.02
 38  |  NGC4636        | 190.70770 |   2.68779 | 0.68      |  147.7     |  8.06      |  6.07      | 0.01      | 6.45      | 6.17       | 0.01       | 1.65      | 6.17      | 0.01      | 1.65       | 4.95      | 0.05          | -0.10     | 0.02    | 0.00    |  0.02
 39  |  NGC2768        | 137.90607 |  60.03756 | 0.32      |  91.7      |  7.98      |  6.76      | 0.01      | 5.89      | 6.83       | 0.01       | 1.80      | 6.67      | 0.01      | 1.80       | 5.62      | 0.06          | -0.07     | 0.02    | 0.16    |  0.02
 40  |  NGC3585        | 168.32115 | -26.75477 | 0.57      |  109.0     |  7.94      |  6.28      | 0.01      | 5.76      | 6.40       | 0.01       | 1.34      | 6.30      | 0.01      | 1.34       | 5.35      | 0.06          | -0.12     | 0.02    | 0.10    |  0.02
 41  |  ESO270-G017    | 203.70584 | -45.54919 | 0.18      |  107.5     |  7.94      |  8.55      | 0.01      | 6.05      | 8.72       | 0.01       | 6.05      | 6.27      | 0.02      | 6.05       | 3.98      | 0.03          | -0.17     | 0.02    | 2.45    |  0.03
 42  |  MESSIER51a     | 202.46959 |  47.19518 | 0.67      |  17.6      |  7.72      |  5.09      | 0.01      | 7.72      | 4.97       | 0.01       | 7.72      | 1.19      | 0.01      | 7.72       | -0.61     | 0.01          |  0.12     | 0.02    | 3.78    |  0.02
 43  |  NGC3115        | 151.30800 |  -7.71870 | 0.56      |  41.7      |  7.69      |  5.59      | 0.01      | 5.65      | 5.64       | 0.01       | 1.57      | 5.47      | 0.01      | 1.57       | 4.61      | 0.03          | -0.05     | 0.02    | 0.17    |  0.02
 44  |  NGC3923        | 177.75705 | -28.80606 | 0.88      |  40.6      |  7.66      |  5.98      | 0.01      | 5.89      | 6.12       | 0.01       | 1.32      | 6.15      | 0.01      | 1.32       | 5.33      | 0.06          | -0.14     | 0.02    |-0.03    |  0.02
 45  |  NGC4365        | 186.11780 |   7.31775 | 0.68      |  35.6      |  7.53      |  6.27      | 0.01      | 5.48      | 6.44       | 0.01       | 0.85      | 6.86      | 0.01      | 0.85       | 5.82      | 0.05          | -0.17     | 0.02    |-0.42    |  0.02
 46  |  NGC1313        |  49.56689 | -66.49796 | 0.63      |  173.3     |  7.47      |  6.71      | 0.01      | 7.47      | 6.64       | 0.01       | 7.47      | 3.51      | 0.01      | 7.47       | 1.03      | 0.01          |  0.07     | 0.02    | 3.13    |  0.02
 47  |  MESSIER84      | 186.26555 |  12.88707 | 0.97      |  16.3      |  7.46      |  5.73      | 0.01      | 5.50      | 5.82       | 0.01       | 1.31      | 5.81      | 0.01      | 1.31       | 4.87      | 0.05          | -0.09     | 0.02    | 0.01    |  0.02
 48  |  NGC0185        |   9.74029 |  48.33795 | 0.74      |  49.0      |  7.45      |  6.23      | 0.01      | 5.81      | 6.34       | 0.01       | 2.06      | 5.52      | 0.01      | 2.06       | 4.65      | 0.04          | -0.11     | 0.02    | 0.82    |  0.02
 49  |  NGC6946        | 308.71796 |  60.15392 | 0.91      |  51.5      |  7.45      |  5.01      | 0.01      | 7.45      | 4.84       | 0.01       | 7.45      | 0.94      | 0.01      | 7.45       | -1.04     | 0.01          |  0.17     | 0.02    | 3.90    |  0.02
 50  |  NGC1395        |  54.62383 | -23.02732 | 0.81      |  146.5     |  7.42      |  6.45      | 0.01      | 5.63      | 6.57       | 0.01       | 1.32      | 6.41      | 0.01      | 1.32       | 5.47      | 0.07          | -0.12     | 0.02    | 0.16    |  0.02
 51  |  IC0010         |   5.07196 |  59.30388 | 0.87      |  125.8     |  7.33      |  5.11      | 0.01      | 7.00      | 5.04       | 0.01       | 3.87      | 2.35      | 0.01      | 3.87       | -0.33     | 0.01          |  0.07     | 0.02    | 2.69    |  0.02
 52  |  NGC4517        | 188.18965 |   0.11525 | 0.18      |  81.9      |  7.22      |  7.08      | 0.01      | 7.22      | 6.99       | 0.01       | 7.22      | 3.91      | 0.01      | 7.22       | 2.11      | 0.01          |  0.09     | 0.02    | 3.08    |  0.02
 53  |  NGC1291        |  49.32742 | -41.10804 | 0.98      |  44.7      |  7.22      |  5.35      | 0.01      | 7.22      | 5.39       | 0.01       | 7.22      | 4.30      | 0.01      | 7.22       | 3.10      | 0.04          | -0.04     | 0.02    | 1.09    |  0.02
 54  |  NGC2683        | 133.17226 |  33.42194 | 0.19      |  42.0      |  7.16      |  6.14      | 0.01      | 6.26      | 6.10       | 0.01       | 6.26      | 3.79      | 0.01      | 6.26       | 2.65      | 0.02          |  0.04     | 0.02    | 2.31    |  0.02
 55  |  NGC4697        | 192.14961 |  -5.80060 | 0.81      |  49.9      |  7.13      |  6.00      | 0.01      | 5.27      | 6.10       | 0.01       | 1.32      | 6.02      | 0.01      | 1.32       | 4.81      | 0.04          | -0.10     | 0.02    | 0.08    |  0.02
 56  |  NGC3521        | 166.45242 |  -0.03587 | 0.62      |  165.4     |  7.13      |  5.44      | 0.01      | 4.93      | 5.38       | 0.01       | 4.93      | 1.98      | 0.01      | 4.93       | 0.33      | 0.01          |  0.06     | 0.02    | 3.40    |  0.02
 57  |  NGC3109        | 150.79233 | -26.16096 | 0.31      |  91.7      |  7.09      |  8.00      | 0.01      | 7.09      | 8.01       | 0.01       | 7.09      | 6.66      | 0.04      | null       | null      | null          | -0.01     | 0.02    | 1.35    |  0.05
 58  |  NGC0891        |  35.63731 |  42.34778 | 0.25      |  22.9      |  7.09      |  5.51      | 0.01      | 7.09      | 5.30       | 0.01       | 7.09      | 1.97      | 0.01      | 7.09       | 0.23      | 0.01          |  0.21     | 0.02    | 3.33    |  0.02
 59  |  MESSIER85      | 186.35025 |  18.19108 | 0.78      |  18.4      |  7.09      |  5.79      | 0.01      | 5.76      | 5.86       | 0.01       | 1.73      | 5.67      | 0.01      | 1.73       | 4.57      | 0.04          | -0.07     | 0.02    | 0.19    |  0.02
 60  |  NGC4244        | 184.37286 |  37.80739 | 0.19      |  46.5      |  7.08      |  7.51      | 0.01      | 7.08      | 7.46       | 0.01       | 7.08      | 5.34      | 0.01      | 7.08       | 3.27      | 0.03          |  0.05     | 0.02    | 2.12    |  0.02
 61  |  NGC4762        | 193.23326 |  11.23105 | 0.29      |  27.8      |  7.08      |  7.11      | 0.01      | 5.16      | 7.19       | 0.01       | 1.61      | 6.96      | 0.02      | 1.61       | 6.18      | 0.10          | -0.08     | 0.02    | 0.23    |  0.03
 62  |  NGC5084        | 200.07019 | -21.82725 | 0.40      |  75.8      |  6.85      |  6.83      | 0.01      | 6.85      | 6.84       | 0.01       | 6.85      | 5.53      | 0.02      | 6.85       | 4.16      | 0.08          | -0.01     | 0.02    | 1.31    |  0.03
 63  |  NGC5907        | 228.97304 |  56.32876 | 0.19      |  154.3     |  6.76      |  6.47      | 0.01      | 6.76      | 6.35       | 0.01       | 6.76      | 3.24      | 0.01      | 6.76       | 1.57      | 0.01          |  0.12     | 0.02    | 3.11    |  0.02
 64  |  NGC4395        | 186.45364 |  33.54688 | 0.81      |  144.2     |  6.72      |  7.78      | 0.01      | 6.72      | 7.81       | 0.01       | 6.72      | 5.45      | 0.02      | 6.72       | 3.01      | 0.05          | -0.03     | 0.02    | 2.36    |  0.03
 65  |  NGC1407        |  55.04918 | -18.58000 | 1.00      |  178.7     |  6.63      |  6.20      | 0.01      | 5.25      | 6.32       | 0.01       | 1.28      | 6.22      | 0.01      | 1.28       | 5.44      | 0.07          | -0.12     | 0.02    | 0.10    |  0.02
 66  |  NGC3627        | 170.06262 |  12.99155 | 0.53      |  177.3     |  6.59      |  5.56      | 0.01      | 5.16      | 5.47       | 0.01       | 5.16      | 2.03      | 0.01      | 5.16       | 0.02      | 0.01          |  0.09     | 0.02    | 3.44    |  0.02
 67  |  NGC4438        | 186.94028 |  13.00887 | 0.44      |  29.6      |  6.53      |  6.79      | 0.01      | 5.50      | 6.81       | 0.01       | 1.87      | 5.32      | 0.01      | 1.87       | 3.82      | 0.02          | -0.02     | 0.02    | 1.49    |  0.02
 68  |  NGC1365        |  53.40142 | -36.14048 | 0.60      |  41.0      |  6.52      |  6.03      | 0.01      | 6.52      | 5.74       | 0.01       | 6.52      | 2.11      | 0.01      | 6.52       | -0.46     | 0.01          |  0.29     | 0.02    | 3.63    |  0.02
 69  |  NGC2903        | 143.04214 |  21.50136 | 0.49      |  21.5      |  6.48      |  5.67      | 0.01      | 6.48      | 5.58       | 0.01       | 6.48      | 2.07      | 0.01      | 6.48       | 0.09      | 0.01          |  0.09     | 0.02    | 3.51    |  0.02
 70  |  NGC5846        | 226.62210 |   1.60555 | 0.89      |  51.8      |  6.46      |  6.41      | 0.01      | 4.64      | 6.56       | 0.01       | 1.17      | 6.59      | 0.01      | 1.17       | 5.77      | 0.06          | -0.15     | 0.02    |-0.03    |  0.02
 71  |  NGC4725        | 192.61075 |  25.50079 | 0.63      |  40.0      |  6.44      |  6.09      | 0.01      | 5.12      | 6.15       | 0.01       | 5.12      | 3.99      | 0.01      | 5.12       | 2.62      | 0.02          | -0.06     | 0.02    | 2.16    |  0.02
 72  |  NGC1549        |  63.93811 | -55.59235 | 0.80      |  5.3       |  6.43      |  6.35      | 0.01      | 5.68      | 6.46       | 0.01       | 1.90      | 6.09      | 0.01      | 1.90       | 5.21      | 0.03          | -0.11     | 0.02    | 0.37    |  0.02
